"Slush, wet snow",Fatal collisions,"Freezing rain, sleet, hail",50 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Freezing rain, sleet, hail",60 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Freezing rain, sleet, hail",80 km per hour,0,0
"Slush, wet snow",Fatal collisions,"Freezing rain, sleet, hail",100 km per hour,0,0
"Slush, wet snow",Injury collisions,Clear and sunny,Less than 40 km per hour,8,0
"Slush, wet snow",Injury collisions,Clear and sunny,40 km per hour,14,0
"Slush, wet snow",Injury collisions,Clear and sunny,50 km per hour,132,0
"Slush, wet snow",Injury collisions,Clear and sunny,60 km per hour,27,0
"Slush, wet snow",Injury collisions,Clear and sunny,80 km per hour,45,0
"Slush, wet snow",Injury collisions,Clear and sunny,100 km per hour,27,0
"Slush, wet snow",Injury collisions,"Overcast, cloudy but no precipitation",Less than 40 km per hour,3,0
"Slush, wet snow",Injury collisions,"Overcast, cloudy but no precipitation",40 km per hour,3,0
"Slush, wet snow",Injury collisions,"Overcast, cloudy but no precipitation",50 km per hour,88,0
"Slush, wet snow",Injury collisions,"Overcast, cloudy but no precipitation",60 km per hour,8,0
"Slush, wet snow",Injury collisions,"Overcast, cloudy but no precipitation",80 km per hour,24,0
"Slush, wet snow",Injury collisions,"Overcast, cloudy but no precipitation",100 km per hour,36,0
"Slush, wet snow",Injury collisions,Raining,Less than 40 km per hour,2,0
"Slush, wet snow",Injury collisions,Raining,40 km per hour,4,0
"Slush, wet snow",Injury collisions,Raining,50 km per hour,13,0
"Slush, wet snow",Injury collisions,Raining,60 km per hour,7,0
"Slush, wet snow",Injury collisions,Raining,80 km per hour,9,0
"Slush, wet snow",Injury collisions,Raining,100 km per hour,21,0
"Slush, wet snow",Injury collisions,"Snowing, not including drifting snow",Less than 40 km per hour,5,0
"Slush, wet snow",Injury collisions,"Snowing, not including drifting snow",40 km per hour,16,0
"Slush, wet snow",Injury collisions,"Snowing, not including drifting snow",50 km per hour,151,0
"Slush, wet snow",Injury collisions,"Snowing, not including drifting snow",60 km per hour,58,0
"Slush, wet snow",Injury collisions,"Snowing, not including drifting snow",80 km per hour,89,0
"Slush, wet snow",Injury collisions,"Snowing, not including drifting snow",100 km per hour,132,0
"Slush, wet snow",Injury collisions,"Freezing rain, sleet, hail",Less than 40 km per hour,0,0
"Slush, wet snow",Injury collisions,"Freezing rain, sleet, hail",40 km per hour,2,0
"Slush, wet snow",Injury collisions,"Freezing rain, sleet, hail",50 km per hour,10,0
"Slush, wet snow",Injury collisions,"Freezing rain, sleet, hail",60 km per hour,1,0
"Slush, wet snow",Injury collisions,"Freezing rain, sleet, hail",80 km per hour,14,0
"Slush, wet snow",Injury collisions,"Freezing rain, sleet, hail",100 km per hour,23,0
Icy,Fatal collisions,Clear and sunny,Less than 40 km per hour,0,0
Icy,Fatal collisions,Clear and sunny,40 km per hour,0,0
Icy,Fatal collisions,Clear and sunny,50 km per hour,0,2
Icy,Fatal collisions,Clear and sunny,60 km per hour,0,0
Icy,Fatal collisions,Clear and sunny,80 km per hour,2,5
Icy,Fatal collisions,Clear and sunny,100 km per hour,8,8
Icy,Fatal collisions,"Overcast, cloudy but no precipitation",Less than 40 km per hour,0,1
Icy,Fatal collisions,"Overcast, cloudy but no precipitation",40 km per hour,0,0
Icy,Fatal collisions,"Overcast, cloudy but no precipitation",50 km per hour,0,2
Icy,Fatal collisions,"Overcast, cloudy but no precipitation",60 km per hour,0,0
Icy,Fatal collisions,"Overcast, cloudy but no precipitation",80 km per hour,3,1
Icy,Fatal collisions,"Overcast, cloudy but no precipitation",100 km per hour,0,0
Icy,Fatal collisions,Raining,Less than 40 km per hour,0,0
Icy,Fatal collisions,Raining,40 km per hour,0,0
Icy,Fatal collisions,Raining,50 km per hour,0,0
Icy,Fatal collisions,Raining,60 km per hour,0,0
Icy,Fatal collisions,Raining,80 km per hour,0,0
Icy,Fatal collisions,Raining,100 km per hour,1,3
Icy,Fatal collisions,"Snowing, not including drifting snow",Less than 40 km per hour,0,1
Icy,Fatal collisions,"Snowing, not including drifting snow",40 km per hour,0,0
Icy,Fatal collisions,"Snowing, not including drifting snow",50 km per hour,0,1
Icy,Fatal collisions,"Snowing, not including drifting snow",60 km per hour,2,1
Icy,Fatal collisions,"Snowing, not including drifting snow",80 km per hour,2,4
Icy,Fatal collisions,"Snowing, not including drifting snow",100 km per hour,6,5
Icy,Fatal collisions,"Freezing rain, sleet, hail",Less than 40 km per hour,0,0
Icy,Fatal collisions,"Freezing rain, sleet, hail",40 km per hour,0,0
Icy,Fatal collisions,"Freezing rain, sleet, hail",50 km per hour,0,0
Icy,Fatal collisions,"Freezing rain, sleet, hail",60 km per hour,0,1
Icy,Fatal collisions,"Freezing rain, sleet, hail",80 km per hour,0,0
Icy,Fatal collisions,"Freezing rain, sleet, hail",100 km per hour,0,0
Icy,Injury collisions,Clear and sunny,Less than 40 km per hour,56,0
Icy,Injury collisions,Clear and sunny,40 km per hour,81,0
Icy,Injury collisions,Clear and sunny,50 km per hour,816,0
Icy,Injury collisions,Clear and sunny,60 km per hour,227,0
Icy,Injury collisions,Clear and sunny,80 km per hour,259,0
Icy,Injury collisions,Clear and sunny,100 km per hour,185,0
Icy,Injury collisions,"Overcast, cloudy but no precipitation",Less than 40 km per hour,17,0
Icy,Injury collisions,"Overcast, cloudy but no precipitation",40 km per hour,16,0
Icy,Injury collisions,"Overcast, cloudy but no precipitation",50 km per hour,239,0
Icy,Injury collisions,"Overcast, cloudy but no precipitation",60 km per hour,47,0
Icy,Injury collisions,"Overcast, cloudy but no precipitation",80 km per hour,100,0
Icy,Injury collisions,"Overcast, cloudy but no precipitation",100 km per hour,98,0
Icy,Injury collisions,Raining,Less than 40 km per hour,1,0
Icy,Injury collisions,Raining,40 km per hour,1,0
Icy,Injury collisions,Raining,50 km per hour,18,0
Icy,Injury collisions,Raining,60 km per hour,3,0
Icy,Injury collisions,Raining,80 km per hour,11,0
Icy,Injury collisions,Raining,100 km per hour,15,0
Icy,Injury collisions,"Snowing, not including drifting snow",Less than 40 km per hour,13,0
Icy,Injury collisions,"Snowing, not including drifting snow",40 km per hour,17,0
Icy,Injury collisions,"Snowing, not including drifting snow",50 km per hour,262,0
Icy,Injury collisions,"Snowing, not including drifting snow",60 km per hour,94,0
Icy,Injury collisions,"Snowing, not including drifting snow",80 km per hour,176,0
Icy,Injury collisions,"Snowing, not including drifting snow",100 km per hour,228,0
Icy,Injury collisions,"Freezing rain, sleet, hail",Less than 40 km per hour,2,0
Icy,Injury collisions,"Freezing rain, sleet, hail",40 km per hour,3,0
Icy,Injury collisions,"Freezing rain, sleet, hail",50 km per hour,71,0
Icy,Injury collisions,"Freezing rain, sleet, hail",60 km per hour,26,0
Icy,Injury collisions,"Freezing rain, sleet, hail",80 km per hour,52,0
Icy,Injury collisions,"Freezing rain, sleet, hail",100 km per hour,50,0
